Županija,BrojKorisnika,(%)
GradZagreb,257.573,32.6
Splitsko-dalmatinska,74.408,16.36
Primorsko-goranska,64.912,21.92
Zagrebačka,59.680,18.16
Osječko-baranjska,47.031,15.42
Istarska,45.909,22.07
Varaždinska,33.438,19.01
Zadarska,26.755,15.74
Sisačko-moslavačka,24.945,14.47
Krapinsko-zagorska,22.565,16.98
Vukovarsko-srijemska,22.289,12.42
Međimurska,21.279,18.7
Brodsko-posavska,19.819,12.5
Dubrovačko-neretvanska,19.427,15.85
Karlovačka,18.433,14.3
Koprivničko-križevačka,18.362,15.89
Bjelovarsko-bilogorska,14.912,12.45
Šibensko-kninska,14.309,13.08
Virovitičko-podravska,10.846,12.78
Požeško-slavonska,9.330,11.96
Ličko-senjska,6.310,12.39
